Designator,Mid X,Mid Y,Rotation,Layer
D1,31.36625,-71.22096,100.0,bottom
D10,230.039469,-73.884818,80.0,bottom
D11,28.05825,-89.981554,100.0,bottom
D12,47.687085,-88.365517,100.0,bottom
D13,66.881786,-89.211488,100.0,bottom
D14,85.208251,-94.981505,100.0,bottom
D15,103.534723,-100.751519,100.0,bottom
D16,157.871002,-103.41537,80.0,bottom
D17,176.197473,-97.645354,80.0,bottom
D18,194.523937,-91.87534,80.0,bottom
D19,213.718641,-91.02936,80.0,bottom
D2,50.995077,-69.604916,100.0,bottom
D20,233.347475,-92.645398,80.0,bottom
D21,24.750251,-108.74214,100.0,bottom
D22,44.379079,-107.126095,100.0,bottom
D23,63.57379,-107.972074,100.0,bottom
D24,81.900256,-113.742092,100.0,bottom
D25,100.226722,-119.512111,100.0,bottom
D26,161.178998,-122.17596,80.0,bottom
D27,179.505474,-116.405935,80.0,bottom
D28,197.831931,-110.635924,80.0,bottom
D29,217.026644,-109.789939,80.0,bottom
D3,70.189785,-70.450906,100.0,bottom
D30,236.655479,-111.405982,80.0,bottom
D31,59.276358,-132.749542,100.0,bottom
D32,80.247909,-137.408619,115.0,bottom
D33,100.328285,-148.508333,130.0,bottom
D34,163.919542,-155.896385,50.0,bottom
D35,181.495014,-143.316844,65.0,bottom
D36,202.150783,-135.158273,80.0,bottom
D4,88.516249,-76.220919,100.0,bottom
D5,106.842724,-81.99093,100.0,bottom
D6,154.563001,-84.654778,80.0,bottom
D7,172.889471,-78.884768,80.0,bottom
D8,191.215937,-73.114747,80.0,bottom
D9,210.410642,-72.268771,80.0,bottom
S1,38.039362,-70.410569,190.0,bottom
S10,235.183156,-70.564628,170.0,bottom
S11,34.731368,-89.171158,190.0,bottom
S12,54.360197,-87.555115,190.0,bottom
S13,73.554908,-88.40109,190.0,bottom
S14,91.881373,-94.17111,190.0,bottom
S15,110.207839,-99.941129,190.0,bottom
S16,163.014683,-100.095187,170.0,bottom
S17,181.341149,-94.325167,170.0,bottom
S18,199.667627,-88.555152,170.0,bottom
S19,218.862327,-87.709174,170.0,bottom
S2,57.668192,-68.79453,190.0,bottom
S20,238.491159,-89.32521,170.0,bottom
S21,31.423371,-107.931738,190.0,bottom
S22,51.052204,-106.3157,190.0,bottom
S23,70.246907,-107.161687,190.0,bottom
S24,88.573377,-112.931697,190.0,bottom
S25,106.899837,-118.701712,190.0,bottom
S26,166.322682,-118.855773,170.0,bottom
S27,184.649154,-113.085758,170.0,bottom
S28,202.97562,-107.315738,170.0,bottom
S29,222.170335,-106.469756,170.0,bottom
S3,76.862902,-69.640508,190.0,bottom
S30,241.799155,-108.085803,170.0,bottom
S31,65.94947,-131.939142,190.0,bottom
S32,87.257475,-138.532341,205.0,bottom
S33,106.294482,-150.438084,220.0,bottom
S34,166.864628,-150.373094,140.0,bottom
S35,185.78947,-138.512205,155.0,bottom
S36,207.294474,-131.83808,170.0,bottom
S4,95.189372,-75.41052,190.0,bottom
S5,113.515833,-81.180542,190.0,bottom
S6,159.706686,-81.334601,170.0,bottom
S7,178.033153,-75.564583,170.0,bottom
S8,196.359625,-69.794569,170.0,bottom
S9,215.554334,-68.948584,170.0,bottom
